,Credits,Debits,Transaction Type,Reference Type,Product,Balance,Time Stamp
,,19.999941210543,Trade,Trade,CAD,616.3743638175460,2020/03/12 19:54:16.219
,0.00284942,,Trade,Trade,BTC,0.00284942882,2020/03/12 19:54:16.219
,,0.5517840116924930,Fee,Trade,CAD,636.3743050280890,2020/03/12 17:32:54.352
,,1.60494464,Trade,Trade,ETH,9.58812e-09,2020/03/12 17:32:54.352
,275.8920058462460,,Trade,Trade,CAD,636.9260890397810,2020/03/12 17:32:54.352
,,0.012653756064,Fee,Trade,CAD,361.03408319353500,2020/03/12 17:32:54.348
,,0.0366,Trade,Trade,ETH,1.60494464958812,2020/03/12 17:32:54.348
,6.326878032,,Trade,Trade,CAD,361.04673694959900,2020/03/12 17:32:54.348
,1.64154464806812,,Other,Deposit,ETH,1.64154464958812,2020/03/12 17:27:44.090
,,0.00971130216687932,Fee,Trade,CAD,354.71985891759900,2020/03/12 17:11:45.434
,,0.10719391,Trade,Trade,LTC,9.42e-09,2020/03/12 17:11:45.433
,4.85565108343966,,Trade,Trade,CAD,354.72957021976600,2020/03/12 17:11:45.433
,0.10719391,,Other,Deposit,LTC,0.10719391942,2020/03/12 17:10:27.153
,,0.700676669338725,Fee,Trade,CAD,349.87391913632600,2020/03/12 12:34:43.831
,,0.04292735,Trade,Trade,BTC,8.82e-09,2020/03/12 12:34:43.830
,350.3383346693630,,Trade,Trade,CAD,350.5745958056650,2020/03/12 12:34:43.830
,0.04292735,,Other,Deposit,BTC,0.04292735882,2020/03/12 12:31:20.106
,,0.005,Fee,Withdraw,ETH,1.52e-09,2020/03/11 17:40:33.816
,,0.245,Other,Withdraw,ETH,0.00500000152,2020/03/11 17:40:33.816
,0.25,,Other,Deposit,ETH,0.25000000152,2020/03/11 17:25:38.119
,,0.0005,Fee,Withdraw,BTC,8.82e-09,2020/02/28 11:20:29.235
,,0.0411069,Other,Withdraw,BTC,0.00050000882,2020/02/28 11:20:29.235
,,0.005,Fee,Withdraw,ETH,1.52e-09,2020/02/28 11:13:58.470
,,1.62422688,Other,Withdraw,ETH,0.00500000152,2020/02/28 11:13:58.470
,,0.00007778056,Fee,Trade,BTC,0.04160690882,2020/02/28 10:58:38.790
,,462.308499066128,Trade,Trade,CAD,0.23626113630239600,2020/02/28 10:58:38.785
,0.03889028,,Trade,Trade,BTC,0.04168468938,2020/02/28 10:58:38.785
,,0.0000056,Fee,Trade,BTC,0.00279440938,2020/02/28 10:58:38.785
,,32.8966624,Trade,Trade,CAD,462.5447602024300,2020/02/28 10:58:38.780
,0.0028,,Trade,Trade,BTC,0.00280000938,2020/02/28 10:58:38.780
,,0.00324338372,Fee,Trade,ETH,1.62922688152,2020/02/28 10:56:48.979
,,501.705081096804,Trade,Trade,CAD,495.4414226024300,2020/02/28 10:56:48.974
,1.62169186,,Trade,Trade,ETH,1.63247026524,2020/02/28 10:56:48.974
,,0.0000216,Fee,Trade,ETH,0.01077840524,2020/02/28 10:56:48.974
,,3.309561504,Trade,Trade,CAD,997.1465036992340,2020/02/28 10:56:48.969
,0.0108,,Trade,Trade,ETH,0.01080000524,2020/02/28 10:56:48.969
,999.775,,Other,Deposit,CAD,1000.4560652032300,2020/02/28 10:50:49.672
,,0.005,Fee,Withdraw,ETH,5.24e-09,2020/02/26 08:57:00.440
,,0.15110272,Other,Withdraw,ETH,0.00500000524,2020/02/26 08:57:00.440
,,0.0002194311,Fee,Trade,ETH,0.15610272524,2020/02/26 08:51:26.346
,,34.694913902922,Trade,Trade,CAD,0.6810652032343960,2020/02/26 08:51:26.346
,0.10971555,,Trade,Trade,ETH,0.15632215634,2020/02/26 08:51:26.346
,,0.0000934,Fee,Trade,ETH,0.04660660634,2020/02/26 08:51:26.341
,,14.629619336,Trade,Trade,CAD,35.37597910615640,2020/02/26 08:51:26.341
,0.0467,,Trade,Trade,ETH,0.04670000634,2020/02/26 08:51:26.341
,,0.0005,Fee,Withdraw,BTC,9.38e-09,2020/02/25 12:24:03.397
,,0.00066796,Other,Withdraw,BTC,0.00050000938,2020/02/25 12:24:03.397
,,0.001,Fee,Withdraw,LTC,9.42e-09,2020/02/25 09:56:56.150
,,0.10710364,Other,Withdraw,LTC,0.00100000942,2020/02/25 09:56:56.150
,,0.005,Fee,Withdraw,ETH,6.34e-09,2020/02/25 09:53:26.798
,,0.0743029,Other,Withdraw,ETH,0.00500000634,2020/02/25 09:53:26.798
,,0.00010060722,Fee,Trade,ETH,0.07930290634,2020/02/21 11:30:20.566
